slug,name_ko,name_en,birth_year,death_year,is_living,era,region,category,wikidata_qid,wikiSlug,epic_ko_length
"werner-heisenberg","werner-heisenberg","werner-heisenberg","1901","1976","false","20세기의 거인 (1901~1976)","유럽","science","","","2577"
"wilhelm-rontgen","wilhelm-rontgen","wilhelm-rontgen","1845","1923","false","19세기의 거인 (1845~1923)","유럽","science","","","2564"
"wilhelm-wundt","wilhelm-wundt","wilhelm-wundt","1832","1920","false","19세기의 거인 (1832~1920)","유럽","science","","","2549"
"william-faulkner","william-faulkner","william-faulkner","1897","1962","false","20세기의 거인 (1897~1962)","유럽","arts","","","2621"
"william-henry-harrison","william-henry-harrison","william-henry-harrison","1773","1841","false","19세기의 거인 (1773~1841)","유럽","leadership","","","2207"
"william-penn","william-penn","william-penn","1644","1718","false","17세기의 거인 (1644~1718)","동아시아","leadership","","","2840"
"wojtek","wojtek","wojtek","1942","1963","false","20세기의 거인 (1942~1963)","유럽","society","","","2241"
"wonhyo","wonhyo","wonhyo","617","686","true","7세기의 거인 (617~686)","동아시아","philosophy","","","2153"
"xiang-yu","xiang-yu","xiang-yu","","","false","기원전 3세기의 거인 (232 BC~202 BC)","기타","leadership","","","2780"
"yang-guifei","yang-guifei","yang-guifei","719","756","false","8세기의 거인 (719~756)","기타","arts","","","2598"
"yi-hwang","yi-hwang","yi-hwang","1501","1570","false","16세기의 거인 (1501~1570)","동아시아","philosophy","","","2396"
"yi-i","yi-i","yi-i","1536","1584","false","16세기의 거인 (1536~1584)","동아시아","philosophy","","","2486"
"yi-sang","yi-sang","yi-sang","1910","1937","false","20세기의 거인 (1910~1937)","동아시아","arts","","","2678"
"yin-lihua","yin-lihua","yin-lihua","5","64","true","1세기의 거인 (5~64)","동아시아","leadership","","","2703"
"yukio-mishima","yukio-mishima","yukio-mishima","1925","1970","false","20세기의 거인 (1925~1970)","동아시아","arts","","","2518"
"zaha-hadid","zaha-hadid","zaha-hadid","1950","2016","false","21세기의 거인 (1950~2016)","중동/북아프리카","arts","","","2669"
"zeami-motokiyo","zeami-motokiyo","zeami-motokiyo","1363","1443","false","15세기의 거인 (1363~1443)","동아시아","arts","","","2598"
"zeno-of-citium","zeno-of-citium","zeno-of-citium","","","false","기원전 4세기의 거인 (기원전 334년~기원전 262년)","유럽","philosophy","","","2516"
"zhang-heng","zhang-heng","zhang-heng","78","139","false","2세기의 거인 (78~139)","동아시아","science","","","2520"
"zhang-yi","zhang-yi","zhang-yi","","","false","기원전 4세기의 거인 (기원전 329년 이전~기원전 309년)","동아시아","philosophy","","","2393"
"zhu-xi","zhu-xi","zhu-xi","1130","1200","false","12세기의 거인 (1130~1200)","동아시아","philosophy","","","2696"
"zu-chongzhi","zu-chongzhi","zu-chongzhi","429","500","false","5세기의 거인 (429~500)","동아시아","science","","","2519"
